City,Country,Temperature (°C),Weather Description,Wind Speed (m/s),Pressure (hPa),Humidity (%),Dew Point (°C),Visibility (m)
London,GB,17.81,scattered clouds,5.66,1008,67,11.209999999999999,10000
Paris,FR,15.89,overcast clouds,5.14,1014,92,14.290000000000001,10000
Berlin,DE,19.72,clear sky,5.81,1003,56,10.919999999999998,10000
Madrid,ES,26.55,clear sky,1.54,998,38,14.15,10000
Rome,US,14.69,clear sky,0.45,1019,89,12.489999999999998,10000
Athens,GR,26.29,few clouds,4.47,1011,44,15.09,10000
Warsaw,PL,25.16,few clouds,2.57,1010,46,14.36,10000
Vienna,AT,20.78,few clouds,5.36,1015,49,10.580000000000002,10000
Amsterdam,NL,15.76,scattered clouds,7.72,1007,80,11.76,10000
Brussels,BE,16.15,broken clouds,4.63,1010,85,13.149999999999999,8000
Lisbon,PT,23.31,few clouds,6.69,1017,57,14.709999999999999,10000
Oslo,NO,17.58,scattered clouds,3.85,1011,48,7.179999999999998,10000
Stockholm,SE,18.04,light rain,3.09,1013,79,13.84,10000
Helsinki,FI,23.84,clear sky,6.17,1015,50,13.84,10000
Copenhagen,DK,17.3,overcast clouds,9.26,1013,70,11.3,10000
Dublin,US,11.61,clear sky,1.54,1018,82,8.01,10000
Budapest,HU,23.4,few clouds,4.12,1008,52,13.799999999999999,10000
Prague,CZ,19.96,few clouds,3.13,1015,47,9.360000000000001,10000
Bratislava,SK,20.71,scattered clouds,5.14,1014,57,12.110000000000001,10000
Ljubljana,SI,20.49,broken clouds,1.03,1016,69,14.29,10000
Donji grad,HR,20.77,few clouds,3.09,1016,49,10.57,10000
Belgrade,RS,21.83,few clouds,7.2,1013,62,14.229999999999999,10000
Sofia,BG,19.83,broken clouds,2.06,1013,52,10.229999999999999,10000
Bucharest,RO,22.89,few clouds,3.09,1004,54,13.690000000000001,10000
Vilnius,LT,26.49,clear sky,5.14,1016,38,14.089999999999998,10000
Rīga,LV,26.57,few clouds,2.57,1013,46,15.77,10000
Tallinn,EE,26.23,clear sky,4.63,1015,41,14.43,10000
Valletta,MT,26.3,few clouds,4.12,1014,53,16.9,10000
Nicosia,CY,26.82,scattered clouds,6.69,1011,47,16.22,10000
Reykjavik,IS,8.81,scattered clouds,5.66,1015,71,3.0100000000000007,10000
Luxembourg Province,BE,14.08,overcast clouds,5.89,1013,97,13.48,451
